# time period is_running is_waiting good_frames raw_frames good_uamps raw_uamph monitor1_sum dae_beam_current total_counts count_rate np_ratio
2009-08-06T03:33:32 1 1 0 169 169 0.206189 0.206189 0 44.7532 0 0 0 
2009-08-06T03:34:03 1 1 0 476 476 0.581215 0.581215 1 37.4593 0 0 0 
2009-08-06T03:34:33 1 1 0 779 779 0.951117 0.951117 1 43.8374 0 0 0 
2009-08-06T03:35:07 1 1 0 1124 1124 1.37254 1.37254 1 44.7434 0 0 0 
2009-08-06T03:35:40 1 1 0 1452 1452 1.77316 1.77316 1 44.7534 0 0 0 
2009-08-06T03:36:13 1 1 0 1780 1780 2.17391 2.17391 1 44.9436 0 0 0 
2009-08-06T03:36:45 1 1 0 2096 2096 2.55989 2.55989 2 44.7433 0 0 16.0917 
2009-08-06T03:37:17 1 1 0 2420 2420 2.95595 2.95595 2 44.9635 0 0 0 
2009-08-06T03:37:49 1 1 0 2737 2737 3.34294 3.34294 3 44.7284 0 0 0 
2009-08-06T03:38:21 1 1 0 3059 3059 3.73626 3.73626 3 43.8926 0 0 0 
2009-08-06T03:38:52 1 1 0 3374 3374 4.12089 4.12089 3 43.9573 0 0 0 
2009-08-06T03:39:25 1 1 0 3697 3697 4.51539 4.51539 3 44.9334 0 0 0 
2009-08-06T03:39:57 1 1 0 4018 4018 4.90712 4.90712 3 43.8976 0 0 0 
2009-08-06T03:40:27 1 1 0 4325 4325 5.28194 5.28194 3 43.8373 0 0 0 
2009-08-06T03:41:02 1 1 0 4672 4672 5.70555 5.70555 3 43.9976 0 0 0 
2009-08-06T03:41:34 1 1 0 4992 4992 6.09615 6.09615 3 43.9276 0 0 0 
2009-08-06T03:42:05 1 1 0 5296 5296 6.46758 6.46758 4 37.48 0 0 0 
2009-08-06T03:42:38 1 1 0 5629 5630 6.87405 6.87405 4 44.0175 0 0 0 
2009-08-06T03:43:10 1 1 0 5950 5951 7.26598 7.26598 4 44.8837 0 0 0 
2009-08-06T03:43:42 1 1 0 6273 6274 7.6601 7.6601 4 44.7282 0 0 0 
2009-08-06T03:44:15 1 1 0 6597 6598 8.05475 8.05475 4 44.1229 0 0 0 
2009-08-06T03:44:47 1 1 0 6920 6921 8.45018 8.45018 4 43.7871 0 0 0 
2009-08-06T03:45:19 1 1 0 7241 7242 8.84125 8.84125 4 44.0378 0 0 0 
2009-08-06T03:45:52 1 1 0 7568 7569 9.24173 9.24173 5 43.8125 0 0 16.4336 
2009-08-06T03:46:24 1 1 0 7894 7895 9.64033 9.64033 5 44.0974 0 0 0 
