2010-05-26T09:17:28	Fast_Shutter	CLOSED
2010-05-26T09:19:38	Beam_Shutter	FAULT
2010-05-26T09:20:13	Beam_Shutter	CLOSED
2010-05-26T09:34:20	Guide_Pressure	70
2010-05-26T09:34:23	Guide_Pressure	200
2010-05-26T09:34:26	Guide_Pressure	360
2010-05-26T09:34:29	Guide_Pressure	420
2010-05-26T09:34:32	Guide_Pressure	490
2010-05-26T09:34:36	Guide_Pressure	540
2010-05-26T09:34:38	Guide_Pressure	580
2010-05-26T09:34:42	Guide_Pressure	610
2010-05-26T09:34:45	Guide_Pressure	640
2010-05-26T09:34:48	Guide_Pressure	660
2010-05-26T09:34:51	Guide_Pressure	680
2010-05-26T09:34:54	Guide_Pressure	700
2010-05-26T09:34:57	Guide_Pressure	720
2010-05-26T09:35:01	Guide_Pressure	750
2010-05-26T09:35:04	Guide_Pressure	760
2010-05-26T09:35:07	Guide_Pressure	770
2010-05-26T09:35:10	Guide_Pressure	780
2010-05-26T09:35:13	Guide_Pressure	790
2010-05-26T09:35:16	Guide_Pressure	780
2010-05-26T09:35:20	Guide_Pressure	810
2010-05-26T09:35:23	Guide_Pressure	820
2010-05-26T09:35:26	Guide_Pressure	810
2010-05-26T09:35:38	Guide_Pressure	820
2010-05-26T09:35:42	Guide_Pressure	810
2010-05-26T09:35:48	Guide_Pressure	820
2010-05-26T09:35:48	Guide4	268.26
2010-05-26T09:35:48	Guide3	0.3
2010-05-26T09:35:48	Guide2	270.06
2010-05-26T09:35:48	Guide1	0.62
2010-05-26T09:35:48	S2	808.952
2010-05-26T09:35:48	S1	810.317
2010-05-26T09:35:49	Guide4	266.3
2010-05-26T09:35:49	Guide3	2.26
2010-05-26T09:35:49	Guide2	269.94
2010-05-26T09:35:49	Guide1	0
2010-05-26T09:35:49	S2	803.847
2010-05-26T09:35:49	S1	810.015
2010-05-26T09:35:50	Guide4	263.3
2010-05-26T09:35:50	Guide3	5.26
2010-05-26T09:35:50	S2	796.169
2010-05-26T09:35:52	Guide4	260.82
2010-05-26T09:35:52	Guide3	7.74
2010-05-26T09:35:52	S2	789.922
2010-05-26T09:35:53	Guide4	257.54
2010-05-26T09:35:53	Guide3	11.02
2010-05-26T09:35:53	S2	781.8
2010-05-26T09:35:54	Guide_Pressure	810
2010-05-26T09:35:54	Guide4	254.98
2010-05-26T09:35:54	Guide3	13.58
2010-05-26T09:35:54	S2	775.358
2010-05-26T09:35:55	Guide4	252.28
2010-05-26T09:35:55	Guide3	16.3
2010-05-26T09:35:55	S2	768.574
2010-05-26T09:35:56	Guide4	249.18
2010-05-26T09:35:56	Guide3	19.38
2010-05-26T09:35:56	S2	760.881
2010-05-26T09:35:57	Guide4	246.5
2010-05-26T09:35:57	Guide3	22.06
2010-05-26T09:35:57	S2	754.156
2010-05-26T09:35:58	Guide4	243.88
2010-05-26T09:35:58	Guide3	24.7
2010-05-26T09:35:58	S2	747.583
2010-05-26T09:35:59	Guide4	241.22
2010-05-26T09:35:59	Guide3	27.34
2010-05-26T09:35:59	S2	740.972
2010-05-26T09:36:00	Guide4	238
2010-05-26T09:36:00	Guide3	30.56
2010-05-26T09:36:00	S2	732.904
2010-05-26T09:36:01	Guide4	235.34
2010-05-26T09:36:01	Guide3	33.24
2010-05-26T09:36:01	S2	726.217
2010-05-26T09:36:03	Guide4	232.16
2010-05-26T09:36:03	Guide3	36.4
2010-05-26T09:36:03	S2	718.317
2010-05-26T09:36:04	Guide4	229.6
2010-05-26T09:36:04	Guide3	38.96
2010-05-26T09:36:04	S2	711.902
2010-05-26T09:36:05	Guide4	226.46
2010-05-26T09:36:05	Guide3	42.1
2010-05-26T09:36:05	S2	704.057
2010-05-26T09:36:06	Guide4	223.88
2010-05-26T09:36:06	Guide3	44.68
2010-05-26T09:36:06	S2	697.599
2010-05-26T09:36:07	Guide4	220.8
2010-05-26T09:36:07	Guide3	47.76
2010-05-26T09:36:07	S2	689.901
2010-05-26T09:36:08	Guide4	218.18
2010-05-26T09:36:08	Guide3	50.92
2010-05-26T09:36:08	S2	682.037
2010-05-26T09:36:09	Guide4	215.02
2010-05-26T09:36:09	Guide3	53.54
2010-05-26T09:36:09	S2	676.066
2010-05-26T09:36:11	Guide4	211.94
2010-05-26T09:36:11	Guide3	56.64
2010-05-26T09:36:11	S2	675.105
2010-05-26T09:36:12	Guide4	208.82
2010-05-26T09:36:12	Guide3	59.74
2010-05-26T09:36:12	S2	675.021
2010-05-26T09:36:13	Guide4	206.14
2010-05-26T09:36:13	Guide3	62.42
2010-05-26T09:36:14	Guide4	202.92
2010-05-26T09:36:14	Guide3	65.66
2010-05-26T09:36:15	Guide4	200.22
2010-05-26T09:36:15	Guide3	68.34
2010-05-26T09:36:16	Guide4	197.1
2010-05-26T09:36:16	Guide3	71.46
2010-05-26T09:36:18	Guide4	193.96
2010-05-26T09:36:18	Guide3	74.6
2010-05-26T09:36:19	Guide4	191.24
2010-05-26T09:36:19	Guide3	77.32
2010-05-26T09:36:20	Guide4	188.08
2010-05-26T09:36:20	Guide3	80.48
2010-05-26T09:36:21	Guide4	185.44
2010-05-26T09:36:21	Guide3	83.14
2010-05-26T09:36:22	Guide4	182.88
2010-05-26T09:36:22	Guide3	86.2
2010-05-26T09:36:23	Guide4	179.74
2010-05-26T09:36:23	Guide3	89.34
2010-05-26T09:36:24	Guide4	176.68
2010-05-26T09:36:24	Guide3	91.9
2010-05-26T09:36:26	Guide4	173.98
2010-05-26T09:36:26	Guide3	95.1
2010-05-26T09:36:27	Guide4	170.88
2010-05-26T09:36:27	Guide3	97.7
2010-05-26T09:36:28	Guide4	167.78
2010-05-26T09:36:28	Guide3	100.78
2010-05-26T09:36:29	Guide4	165.16
2010-05-26T09:36:29	Guide3	103.92
2010-05-26T09:36:30	Guide4	162.04
2010-05-26T09:36:30	Guide3	106.52
2010-05-26T09:36:31	Guide4	158.9
2010-05-26T09:36:31	Guide3	109.66
2010-05-26T09:36:32	Guide4	156.3
2010-05-26T09:36:32	Guide3	112.76
2010-05-26T09:36:34	Guide4	152.66
2010-05-26T09:36:34	Guide3	115.92
2010-05-26T09:36:35	Guide4	150.02
2010-05-26T09:36:35	Guide3	119.06
2010-05-26T09:36:36	Guide4	146.94
2010-05-26T09:36:36	Guide3	121.64
2010-05-26T09:36:37	Guide4	143.86
2010-05-26T09:36:37	Guide3	124.7
2010-05-26T09:36:38	Guide_Pressure	820
2010-05-26T09:36:38	Guide4	140.72
2010-05-26T09:36:38	Guide3	127.84
2010-05-26T09:36:40	Guide4	138.18
2010-05-26T09:36:40	Guide3	130.4
2010-05-26T09:36:41	Guide_Pressure	810
2010-05-26T09:36:41	Guide4	134.58
2010-05-26T09:36:41	Guide3	133.98
